realisation,dbottom,dhyp,dip,dtop,hdepth,hlat,hlon,is_point_source,length,mag,rake,shyp,strike,tect_type,width,zbot,ztor
CardronaS_REL16,18.01332839871632,14.0295,60.0,0.0,12.0282,-44.88591,168.899185,False,28.5,6.633007570683005,38.50162542391615,-0.8009,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL02,18.01332839871632,10.9031,60.0,0.0,9.37427,-44.852707,168.938354,False,28.5,6.7355345933737825,9.593893307919956,-5.5756,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL20,18.01332839871632,15.9594,60.0,0.0,13.6548,-44.862396,168.899384,False,28.5,6.928543226610363,65.70784948595795,-3.1242,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL14,18.01332839871632,13.2746,60.0,0.0,11.3433,-44.897751,168.898041,False,28.5,6.824053483104483,55.41311587921445,0.4069,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL04,18.01332839871632,6.2028,60.0,0.0,5.35061,-44.91098,168.937851,False,28.5,6.737102701945298,33.83411296374664,0.1249,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL15,18.01332839871632,17.6225,60.0,0.0,15.0245,-44.893921,168.871201,False,28.5,6.817100885967204,73.2042342693349,1.0902,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL08,18.01332839871632,11.0591,60.0,0.0,9.45988,-44.949539,168.884216,False,28.5,6.669704794808532,17.630015185494216,6.0087,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL23,18.01332839871632,12.59,60.0,0.0,10.744,-44.911865,168.894943,False,28.5,6.587614229420488,46.81067942552454,1.9252,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL03,18.01332839871632,12.7416,60.0,0.0,10.9152,-44.939865,168.878113,False,28.5,6.611329350208917,52.739363310021865,5.3515,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL18,18.01332839871632,7.5559,60.0,0.0,6.46354,-44.899689,168.935318,False,28.5,6.822213924205103,36.75046974761608,-0.9311,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL01,18.01332839871632,9.2799,60.0,0.0,7.9189,-44.915939,168.914902,False,28.5,6.980655669265853,47.07105908638073,1.5373,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL24,18.01332839871632,9.4861,60.0,0.0,8.09012,-44.924698,168.908722,False,28.5,6.5826116087912725,44.00824626470973,2.5969,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL26,18.01332839871632,10.6511,60.0,0.0,9.11744,-44.957138,168.882721,False,28.5,6.577017456973568,22.210232091273493,6.7963,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
